codigo,nombre,creditos,semestre,requisitos,correquisitos,grupo,profesor,dia,hora_inicio,hora_fin
CE-1101,Introducción a la programación,3,1,,,1,Schmidt Peralta Jeff,J,07:30,09:20
CE-1101,Introducción a la programación,3,1,,,1,Schmidt Peralta Jeff,K,07:30,09:20
CE-1101,Introducción a la programación,3,1,,,2,Schmidt Peralta Jeff,J,09:30,11:20
CE-1101,Introducción a la programación,3,1,,,2,Schmidt Peralta Jeff,K,09:30,11:20
CE-1103,Algoritmos y estructuras de datos 1,4,2,CE-1101;CE-1104;MA-1403,,1,Ramirez Trejos Ellioth,M,17:00,18:50
CE-1103,Algoritmos y estructuras de datos 1,4,2,CE-1101;CE-1104;MA-1403,,1,Ramirez Trejos Ellioth,V,17:00,18:50
CE-1103,Algoritmos y estructuras de datos 1,4,2,CE-1101;CE-1104;MA-1403,,2,Gamboa Ramirez Santiago,J,15:00,16:50
CE-1103,Algoritmos y estructuras de datos 1,4,2,CE-1101;CE-1104;MA-1403,,2,Gamboa Ramirez Santiago,K,15:00,16:50
CE-1103,Algoritmos y estructuras de datos 1,4,2,CE-1101;CE-1104;MA-1403,,3,Barboza Artavia Luis,J,09:30,11:20
CE-1103,Algoritmos y estructuras de datos 1,4,2,CE-1101;CE-1104;MA-1403,,3,Barboza Artavia Luis,K,09:30,11:20
CE-1104,Fundamentos de sistemas computacionales,3,1,,CE-1101,1,Villegas Lemus Milton,J,07:30,09:20
CE-1104,Fundamentos de sistemas computacionales,3,1,,CE-1101,1,Villegas Lemus Milton,K,07:30,09:20
CE-1105,Principios de modelado en ingeniería,3,2,CE-1104,,1,Mora Rojas Diego,J,19:00,20:50
CE-1105,Principios de modelado en ingeniería,3,2,CE-1104,,1,Mora Rojas Diego,K,19:00,20:50
CE-1105,Principios de modelado en ingeniería,3,2,CE-1104,,2,Rivera Meneses Marco,M,17:00,18:50
CE-1105,Principios de modelado en ingeniería,3,2,CE-1104,,2,Rivera Meneses Marco,V,17:00,18:50
CE-1105,Principios de modelado en ingeniería,3,2,CE-1104,,3,Hernandez Vasquez Marco,J,19:00,20:50
CE-1105,Principios de modelado en ingeniería,3,2,CE-1104,,3,Hernandez Vasquez Marco,K,19:00,20:50
CE-1106,Paradigmas de programación,3,4,CE-2103,,1,Barboza Artavia Luis,M,09:30,11:20
CE-1106,Paradigmas de programación,3,4,CE-2103,,1,Barboza Artavia Luis,V,09:30,11:20
CE-1106,Paradigmas de programación,3,4,CE-2103,,2,Gamboa Ramirez Santiago,J,17:00,18:50
CE-1106,Paradigmas de programación,3,4,CE-2103,,2,Gamboa Ramirez Santiago,K,17:00,18:50
CE-2103,Algoritmos y estructuras de datos 2,4,3,CE-1103;CE-1105,,1,Ramirez Herrera Jose Isaac,J,07:30,09:20
CE-2103,Algoritmos y estructuras de datos 2,4,3,CE-1103;CE-1105,,1,Ramirez Herrera Jose Isaac,K,07:30,09:20
CE-2201,Laboratorio de circuitos eléctricos,1,4,FI-1202,,1,Araya Martinez Leonardo,L,09:30,11:20
CE-2201,Laboratorio de circuitos eléctricos,1,4,FI-1202,,2,Araya Martinez Leonardo,L,07:30,09:20
CI-0205,Prueba avanzada de inglés,0,0,,,,,,,
CI-1407,Habilidades de Comunicación en Ingeniería,2,2,,,1,Godinez Rojas Paulette,L,09:30,12:20
CI-1407,Habilidades de Comunicación en Ingeniería,2,2,,,2,Morales Solano Paola Natalia,J,13:00,15:50
CI-1407,Habilidades de Comunicación en Ingeniería,2,2,,,3,Morales Garay Saray,K,13:00,15:50
CI-1407,Habilidades de Comunicación en Ingeniería,2,2,,,4,Morales Solano Paola Natalia,V,07:30,10:20
CS-1502,"Introducción a la técnica, ciencia y tecnología",1,2,,,1,Ortiz Acuña Leonardo,J,09:30,11:20
CS-1502,"Introducción a la técnica, ciencia y tecnología",1,2,,,2,Bojorge Murillo Alexander,M,09:30,11:20
CS-1502,"Introducción a la técnica, ciencia y tecnología",1,2,,,3,Bojorge Murillo Alexander,M,17:00,18:50
CS-1502,"Introducción a la técnica, ciencia y tecnología",1,2,,,4,Bojorge Murillo Alexander,K,15:00,16:50
CS-1502,"Introducción a la técnica, ciencia y tecnología",1,2,,,5,Garro Reyes Mauricio,M,09:30,11:20
CS-2101,Ambiente humano,2,3,,,1,Ortiz Alvarez Jorge Isaac,V,09:30,12:20
CS-2101,Ambiente humano,2,3,,,2,Rodriguez Morales Oscar,K,09:30,12:20
CS-2101,Ambiente humano,2,3,,,3,Ortiz Alvarez Jorge Isaac,M,09:30,12:20
CS-2101,Ambiente humano,2,3,,,4,Ortiz Alvarez Jorge Isaac,M,15:00,17:50
CS-2101,Ambiente humano,2,3,,,5,Murillo Solis Javier,J,09:30,12:20
CS-2101,Ambiente humano,2,3,,,6,Rodriguez Morales Oscar,L,07:30,10:20
CS-2101,Ambiente humano,2,3,,,7,Rodriguez Morales Oscar,L,18:00,20:50
CS-2101,Ambiente humano,2,3,,,8,Rojas Molina Betsy,K,18:00,20:50
EL-2113,Circuitos Eléctricos en Corriente Continua,4,3,FI-1101;MA-1102,,1,Vega Castillo Paola,M,09:30,11:20
EL-2113,Circuitos Eléctricos en Corriente Continua,4,3,FI-1101;MA-1102,,1,Vega Castillo Paola,V,09:30,11:20
